lon	lat	depth	m_l	err_abs	err_avgrel	area
#						
#	Joint	Pamir-Hindu	Kush	earthquake	catalog	for
#	obtained	from	the	TIPAGE/FERGHANA/TIPTIMON	networks	
#	(Mechie	et	al.,	2012/Feld	et	al.,
#	between	2012-14	&	2008-10.		
#						
#	Pamir	events	are	mainly	relocated	from
#						
#	See	Kufner	et.	al.	2016	for
#	-	absError(km)	--	absolute	location	error
#	-	AveragedRelativeError (km)	--	averaged	relative	location
#	-	the	separation	in	deepPamir	and
#						
#	longitude(deg)	latitude(deg)	depth(km)	local_magnitude	absError(km)	AveragedRelativeError(km)
70.926	36.122	76.25	3.4	3.5	1.9	deepHinduKush
71.221	36.700	76.25	3.1	2.2	1.9	deepHinduKush
71.179	36.482	76.29	2.7	4.9	1.9	deepHinduKush
71.020	36.160	76.39	2.9	3.4	1.9	deepHinduKush
71.250	36.472	76.39	3.8	4.8	1.9	deepHinduKush
70.425	36.144	76.41	2.9	4.1	1.9	deepHinduKush
70.759	36.246	76.42	3.5	3.8	1.9	deepHinduKush
71.229	36.075	76.52	3.7	3.6	-	deepHinduKush
70.891	36.166	76.61	2.7	7.0	1.9	deepHinduKush
70.000	35.981	76.69	2.7	3.9	-	deepHinduKush
71.344	36.604	76.74	2.8	2.7	1.9	deepHinduKush
71.132	36.693	76.75	3.9	2.6	1.9	deepHinduKush
71.027	36.182	76.85	3.6	3.7	1.9	deepHinduKush
71.241	36.509	76.87	4.7	3.6	1.9	deepHinduKush
70.416	36.002	76.89	3.3	2.9	1.9	deepHinduKush
70.512	36.180	76.91	2.5	3.6	1.9	deepHinduKush
69.571	35.669	76.95	4.8	3.7	-	deepHinduKush
69.784	36.215	77.11	2.4	3.1	-	deepHinduKush
71.446	36.621	77.11	3.6	2.5	1.9	deepHinduKush
71.439	36.682	77.16	3.3	2.1	1.9	deepHinduKush
69.294	36.078	77.30	2.9	5.1	1.9	deepHinduKush
71.216	36.482	77.31	3.1	3.5	1.9	deepHinduKush
71.089	36.570	77.34	2.8	5.2	1.9	deepHinduKush
71.461	36.433	77.35	3.5	2.8	1.9	deepHinduKush
69.684	35.742	77.58	3.6	3.8	-	deepHinduKush
70.721	36.171	77.61	3.1	2.9	1.9	deepHinduKush
70.244	36.085	77.66	3.1	3.4	-	deepHinduKush
70.536	36.127	77.68	3.0	3.5	1.9	deepHinduKush
70.433	36.143	77.70	3.8	3.4	1.9	deepHinduKush
71.257	36.455	77.76	3.4	3.0	1.9	deepHinduKush
70.428	36.005	77.81	3.0	3.6	1.9	deepHinduKush
71.363	36.422	77.84	4.7	5.1	1.9	deepHinduKush
71.492	36.402	77.88	3.3	4.8	1.9	deepHinduKush
70.838	35.903	77.91	2.4	5.6	1.9	deepHinduKush
70.774	36.046	77.92	2.6	3.5	1.9	deepHinduKush
70.842	36.180	77.93	3.5	3.2	1.9	deepHinduKush
70.605	36.191	77.99	2.9	2.9	1.9	deepHinduKush
70.193	36.283	78.02	2.8	10.9	-	deepHinduKush
71.383	36.601	78.05	2.8	4.2	1.9	deepHinduKush
71.278	36.489	78.07	3.6	5.2	1.9	deepHinduKush
69.559	35.831	78.13	3.1	5.5	-	deepHinduKush
70.725	36.318	78.18	2.5	7.0	1.9	deepHinduKush
71.194	36.438	78.24	3.0	2.9	1.9	deepHinduKush
70.991	36.380	78.30	2.9	3.3	-	deepHinduKush
70.703	35.989	78.31	4.0	3.8	1.9	deepHinduKush
71.395	36.625	78.32	3.4	2.3	1.9	deepHinduKush
70.833	35.918	78.36	4.8	3.2	1.9	deepHinduKush
71.099	36.468	78.43	3.3	10.2	1.9	deepHinduKush
70.560	36.237	78.50	2.7	4.2	1.9	deepHinduKush
70.641	36.303	78.52	2.6	4.0	1.9	deepHinduKush
70.746	36.045	78.54	2.9	5.1	1.9	deepHinduKush
71.316	36.492	78.56	2.7	3.9	1.9	deepHinduKush
71.303	36.513	78.58	3.3	3.8	1.9	deepHinduKush
68.537	35.849	78.72	3.3	15.4	-	deepHinduKush
70.930	36.617	78.73	2.4	6.6	-	deepHinduKush
71.215	36.417	78.73	2.6	4.0	1.9	deepHinduKush
71.249	36.457	78.74	3.2	3.7	1.9	deepHinduKush
71.475	36.197	78.87	2.8	5.9	-	deepHinduKush
71.404	36.677	78.96	3.1	4.4	1.9	deepHinduKush
70.715	36.275	79.00	2.6	3.6	1.9	deepHinduKush
71.069	36.294	79.02	3.9	2.5	1.9	deepHinduKush
71.151	36.567	79.03	2.4	6.4	1.9	deepHinduKush
71.138	36.419	79.09	3.5	4.6	1.9	deepHinduKush
70.560	36.262	79.14	3.1	4.1	1.9	deepHinduKush
70.956	36.022	79.14	3.6	4.5	1.9	deepHinduKush
70.643	36.021	79.16	4.0	5.7	1.9	deepHinduKush
71.231	36.489	79.16	3.8	2.8	1.9	deepHinduKush
71.377	36.632	79.16	2.2	3.8	1.9	deepHinduKush
70.716	36.254	79.19	3.5	2.6	1.9	deepHinduKush
70.932	36.222	79.22	3.5	2.9	1.9	deepHinduKush
71.307	36.532	79.29	2.1	4.4	1.9	deepHinduKush
70.685	36.329	79.33	2.5	5.9	1.9	deepHinduKush
71.128	36.130	79.35	3.4	3.0	1.9	deepHinduKush
70.725	36.229	79.46	2.4	4.0	1.9	deepHinduKush
71.271	36.502	79.46	3.3	4.2	1.9	deepHinduKush
70.622	36.299	79.53	3.1	4.2	1.9	deepHinduKush
70.610	36.162	79.57	2.5	4.9	1.9	deepHinduKush
71.206	36.457	79.57	3.1	3.1	1.9	deepHinduKush
70.573	36.192	79.59	2.5	4.5	1.9	deepHinduKush
71.388	36.380	79.65	2.7	3.8	1.9	deepHinduKush
70.558	36.234	79.70	3.6	2.5	1.9	deepHinduKush
71.350	36.647	79.72	2.7	5.4	1.9	deepHinduKush
69.487	36.146	79.80	2.3	6.4	-	deepHinduKush
71.136	36.282	79.81	2.8	4.9	1.9	deepHinduKush
71.165	36.172	79.81	3.4	2.9	1.9	deepHinduKush
69.425	35.816	79.82	3.0	8.0	-	deepHinduKush
70.713	36.244	79.85	2.8	5.3	1.9	deepHinduKush
70.343	36.114	79.87	4.0	7.0	1.9	deepHinduKush
70.593	36.240	79.89	3.1	3.8	1.9	deepHinduKush
71.208	36.536	79.89	4.3	5.0	1.9	deepHinduKush
70.790	36.383	79.92	2.5	4.9	-	deepHinduKush
71.054	35.228	79.93	3.2	9.1	-	deepHinduKush
71.251	36.481	79.93	4.3	3.2	1.9	deepHinduKush
70.524	36.229	79.95	2.9	2.8	1.9	deepHinduKush
71.244	36.219	79.96	4.1	3.4	1.9	deepHinduKush
71.123	36.469	80.07	4.2	5.9	1.9	deepHinduKush
69.231	35.918	80.10	2.9	8.1	-	deepHinduKush
71.002	36.522	80.11	3.1	9.5	1.9	deepHinduKush
71.226	36.500	80.12	3.8	3.4	1.9	deepHinduKush
70.869	36.313	80.16	3.1	4.2	1.9	deepHinduKush
70.844	36.316	80.19	3.6	5.4	1.9	deepHinduKush
70.922	36.258	80.22	3.4	3.1	1.9	deepHinduKush
71.060	36.215	80.30	4.4	4.2	1.9	deepHinduKush
72.113	36.386	80.30	2.9	7.5	-	deepHinduKush
71.304	36.512	80.31	3.2	5.0	1.9	deepHinduKush
70.149	35.980	80.32	3.5	14.1	-	deepHinduKush
69.288	36.062	80.38	3.3	3.9	1.9	deepHinduKush
70.088	36.080	80.38	2.5	4.5	1.9	deepHinduKush
70.599	36.238	80.40	3.3	3.9	1.9	deepHinduKush
71.303	36.405	80.42	3.2	4.5	1.9	deepHinduKush
71.295	36.316	80.49	2.5	4.2	1.9	deepHinduKush
71.194	36.434	80.55	4.0	2.7	1.9	deepHinduKush
70.701	36.223	80.58	2.7	3.6	1.9	deepHinduKush
71.203	36.417	80.61	3.2	8.2	1.9	deepHinduKush
71.285	36.619	80.61	3.0	4.4	1.9	deepHinduKush
71.398	36.668	80.63	3.5	3.8	1.9	deepHinduKush
70.838	36.280	80.69	3.2	3.9	1.9	deepHinduKush
71.041	36.138	80.72	3.5	4.5	1.9	deepHinduKush
71.254	36.561	80.78	3.5	5.6	1.9	deepHinduKush
69.814	35.928	80.83	3.3	4.0	1.9	deepHinduKush
71.288	36.578	80.88	4.9	3.1	-	deepHinduKush
70.635	36.001	80.89	3.1	3.6	1.9	deepHinduKush
70.847	36.263	80.92	2.9	3.7	1.9	deepHinduKush
70.836	36.274	80.93	2.9	4.0	1.9	deepHinduKush
70.869	36.022	80.94	3.2	3.0	1.9	deepHinduKush
70.887	36.305	80.98	2.6	3.9	1.9	deepHinduKush
71.396	36.657	80.98	3.1	3.0	1.9	deepHinduKush
70.625	36.230	81.07	3.0	4.3	1.9	deepHinduKush
71.113	36.224	81.07	2.3	3.5	1.9	deepHinduKush
69.206	35.879	81.12	3.1	8.2	-	deepHinduKush
70.635	35.996	81.15	3.9	2.3	1.9	deepHinduKush
70.414	36.019	81.17	4.3	3.4	1.9	deepHinduKush
70.766	36.182	81.23	3.4	2.6	1.9	deepHinduKush
71.401	36.674	81.27	4.4	4.6	1.9	deepHinduKush
69.294	36.058	81.29	3.1	7.8	1.9	deepHinduKush
71.181	36.410	81.30	3.0	5.0	1.9	deepHinduKush
71.233	36.508	81.32	2.5	5.3	1.9	deepHinduKush
70.804	36.215	81.38	3.0	3.9	1.9	deepHinduKush
70.434	36.109	81.41	2.4	3.4	1.9	deepHinduKush
70.597	36.307	81.41	2.4	4.2	1.9	deepHinduKush
71.318	36.561	81.41	3.3	3.1	1.9	deepHinduKush
71.248	36.493	81.46	4.2	2.2	1.9	deepHinduKush
70.550	35.767	81.52	5.9	10.1	-	deepHinduKush
71.052	36.491	81.59	2.2	8.8	-	deepHinduKush
69.719	36.020	81.63	2.3	4.8	1.9	deepHinduKush
70.590	36.281	81.67	2.2	3.3	1.9	deepHinduKush
71.280	36.298	81.73	3.1	2.7	1.9	deepHinduKush
70.606	36.515	81.91	2.7	11.7	-	deepHinduKush
71.243	36.511	81.91	3.7	4.4	1.9	deepHinduKush
70.873	36.269	81.93	3.4	2.7	1.9	deepHinduKush
71.372	36.370	81.93	3.2	3.4	1.9	deepHinduKush
70.577	36.283	81.94	3.3	5.2	1.9	deepHinduKush
70.470	36.016	81.97	3.3	6.1	1.9	deepHinduKush
71.293	36.316	81.97	3.2	3.4	1.9	deepHinduKush
71.017	35.447	81.98	3.0	6.9	-	deepHinduKush
71.341	36.379	81.99	2.8	3.6	1.9	deepHinduKush
69.642	35.660	82.00	2.7	8.6	-	deepHinduKush
70.676	36.105	82.00	4.3	2.9	-	deepHinduKush
70.859	35.936	82.08	3.1	8.9	1.9	deepHinduKush
70.024	36.019	82.09	3.0	6.1	1.9	deepHinduKush
70.487	36.130	82.13	2.9	6.0	1.9	deepHinduKush
70.762	36.257	82.29	3.3	3.6	1.9	deepHinduKush
71.239	36.732	82.30	3.1	2.7	1.9	deepHinduKush
71.268	36.517	82.30	3.4	4.7	1.9	deepHinduKush
